/backgrounds/modern_city.png
11120 1080
5 50
  |-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1 |     
2 |                                                                                                                00000000000000000000
3 |
4 |                                                                                                                00000000000000000000
5 | 
6 |
7 |
8 |                      000       000                                                                          00000
9 |                                                     0000000
10|          000 0000                                                                        00000000                   0000000000  000
11|                                                0000
12|      000                                       0000     0000                    00000000
13|                                                0000                                                                 000000000000000
14|                                           0000 0000
15|                                           0000 0000
16|0000000000000000000000000000000000000000000000000000000000000000000000       0000000000             00000000000000000000000000000000
17|0000000000000000000000000000000000000000000000000000000000000000000000       0000000000
18|0000000000000000000000000000000000000000000000000000000000000000000000       0000000000
19|0000000000000000000000000000000000000000000000000000000000000000000000       0000000000
20|0000000000000000000000000000000000000000000000000000000000000000000000       0000000000
21|0000000000000000000000000000000000000000000000000000000000000000000000       0000000000
  |-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
